id,title,author,date,status,views,secret,robot,site,type,body,answer,ownerId
1,GoCart180 LT #2 Rubberneck 연결 불안정,박운영,2025-05-02,done,34,FALSE,AMR,인천 청라 로봇랜드,장애/오류 신고,GoCart180 LT #2가 Rubberneck에 간헐적으로 연결 끊김 현상이 발생합니다.,TOM 모듈 keepalive 설정 문제였습니다. 펌웨어 업데이트로 조치 완료하였습니다.,star_sw
2,SPOT #1 E-Stop 해제 후 기립 불가,이현장,2025-04-28,done,21,FALSE,AMR,인천 청라 로봇랜드,장애/오류 신고,E-Stop을 해제했는데도 SPOT #1이 기립하지 않습니다.,배터리 잔량 부족이 원인이었습니다. 충전 후 정상 동작 확인하였습니다.,itp_user
3,Novatek #1 맵 업데이트 요청,김관리,2025-04-25,wait,12,FALSE,AMR,인천 청라 로봇랜드,사용법 문의,5층 레이아웃 변경으로 Novatek #1 맵 재작성이 필요합니다.,,itp_user
4,비밀 문의 — 접근 권한 관련,익명,2025-04-20,done,3,TRUE,기타,전체,기타,[비밀글입니다],[비밀 답변입니다],itp_user
5,SOLAR 대시보드 접속 오류,나대리,2025-04-18,wait,8,FALSE,SOLAR,인천 청라 로봇랜드,장애/오류 신고,"SOLAR 플랫폼 로그인 시 ""서버 오류"" 반복됩니다.",,star_sw
6,GoCart180 SD #1 배터리 교체 주기 문의,정운영,2025-04-15,done,16,FALSE,AMR,인천 청라 로봇랜드,사용법 문의,GoCart180 SD #1 배터리 교체 주기와 스펙이 궁금합니다.,300회 충전 또는 1년 사용 시 교체 권장합니다.,star_sw
7,TOM LED 점등 패턴 설명 요청,한담당,2025-04-10,done,29,FALSE,TOM,전체,사용법 문의,"TOM 파란불, 초록불, 빨간불 의미가 궁금합니다.",파란불:부팅중 / 녹색점멸:정상 / 빨간불:오류. TOM 매뉴얼 2.3절 참고.,itp_user
8,GydTech 모바일 자율주행 범위 조정,박수서,2025-04-05,wait,11,FALSE,AMR,서울 강남 로봇플러스 테스트필드,사용법 문의,GydTech 모바일 자율주행 범위를 테스트필드 전체로 확장 요청드립니다.,,star_sw
9,Vision60 협업 프로젝트 제안,외부팀,2025-03-30,wait,18,FALSE,AMR,강원 영월 빛드림본부,협업 문의,Vision60을 활용한 공동 연구 제안드립니다. 담당자 연결 부탁드립니다.,,star_sw
10,SPOT 영월 순찰 경로 재설정 요청,이영월,2025-03-25,done,42,FALSE,AMR,강원 영월 빛드림본부,사용법 문의,발전소 3구역 공사로 순찰 경로 변경이 필요합니다.,천지영 담당자가 현장 방문 후 경로 재설정 완료하였습니다.,itp_user
11,RB-Y1 그리퍼 파지 실패 반복,김로봇,2025-03-20,done,19,FALSE,모바일 매니퓰레이터,인천 청라 로봇랜드,장애/오류 신고,RB-Y1 그리퍼가 물체를 집어도 파지 확인 신호가 오지 않습니다. 약 3~5회 중 1회 실패합니다.,그리퍼 토크 센서 임계값 조정으로 해결하였습니다. rby1_robot.py v1.2.3으로 업데이트 권장합니다.,star_sw
12,Rubberneck 웹 접속 지연 문의,박관제,2025-03-15,wait,7,FALSE,Rubberneck,인천 청라 로봇랜드,네트워크/연결,Rubberneck 웹 페이지 로딩이 평소보다 3~4배 느립니다. 특정 시간대에 집중됩니다.,,itp_user
13,COBOT 건설 작업 경로 수정 요청,정건설,2025-03-10,wait,5,FALSE,매니퓰레이터,서울 강남 로봇플러스 테스트필드,사용법 문의,테스트필드 레이아웃 일부 변경으로 COBOT 경로 재설정이 필요합니다. 담당자 현장 방문 가능한지 확인 부탁드립니다.,,star_sw
14,TOM 펌웨어 업데이트 일정 문의,한개발,2025-03-05,done,23,FALSE,TOM,전체,사용법 문의,TOM 펌웨어 v2.1 업데이트 배포 일정이 궁금합니다. 변경사항과 업데이트 방법도 안내 부탁드립니다.,"TOM 펌웨어 v2.1은 2025-03-12 배포 예정입니다. OTA 업데이트 지원 예정이며, 상세 릴리즈 노트는 GitHub에 공개됩니다.",star_sw
15,PiPER 암 초기화 오류 코드 E-03,이연구,2025-02-28,wait,14,FALSE,매니퓰레이터,서울 강남 로봇플러스 테스트필드,장애/오류 신고,PiPER 부팅 시 E-03 오류가 발생하고 암 초기화가 중단됩니다. 전원을 껐다 켜면 일시적으로 해결되지만 반복됩니다.,,star_sw
