id,bld,name,cat,icon,type,floor,power,mp,rn,solar,upd,specs,startup,checklist,ctrl,mdFile,vendorGroup,vendorPdf,site,checks
gc_lt1,robotower,GoCart180 LT #1,amr,🛒,AMR,1F,online,online,online,online,1분 전,"{""IP"": ""192.168.1.31"", ""RN ID"": ""gocart-lt-01"", ""OS"": ""Ubuntu 20.04"", ""SDK"": ""ketirtc""}",배터리 40% 이상 확인|TOM 전원 ON|gocart_robot.py 자동 실행 확인|Rubberneck LED 녹색 확인,배터리 40%|TOM LED|Rubberneck|SOLAR|LiDAR 장애물 없음,Rubberneck → GoCart180 LT #1|W/S 전진/후진 A/D 좌/우|Space 정지,robots/gocart.md,gocart180,../docs/vendor_docs/gocart180/GoCart180_LT_User_Manual_KO_V2.5_231214.pdf,incheon,
gc_lt2,robotower,GoCart180 LT #2,amr,🛒,AMR,1F,online,online,warning,online,9분 전,"{""IP"": ""192.168.1.32"", ""RN ID"": ""gocart-lt-02"", ""OS"": ""Ubuntu 20.04"", ""SDK"": ""ketirtc""}",배터리 확인|TOM ON|gocart_robot.py 실행,배터리|TOM|Rubberneck 재시도|SOLAR,Rubberneck → GoCart180 LT #2|WASD|Space,robots/gocart.md,gocart180,../docs/vendor_docs/gocart180/GoCart180_LT_User_Manual_KO_V2.5_231214.pdf,incheon,
spot1,robotower,SPOT #1,quadruped,🐕,4족 보행,1F,online,online,online,online,즉시,"{""IP"": ""192.168.1.21"", ""RN ID"": ""spot-01"", ""OS"": ""Ubuntu 20.04"", ""SDK"": ""Spot SDK 4.x""}",배터리 30% 이상|TOM ON|SPOT 전원 → 기립 대기 30초|spot_robot.py 자동 실행,배터리 30%|TOM|E-Stop 해제|Rubberneck|카메라,Rubberneck → SPOT #1|WASD 또는 조이스틱|Space 긴급 정지|임무 후 앉기 → 전원 차단,robots/spot.md,spot,,incheon,
spot2,robotower,SPOT #2,quadruped,🐕,4족 보행,20F,online,online,online,warning,4분 전,"{""IP"": ""192.168.1.22"", ""RN ID"": ""spot-02"", ""OS"": ""Ubuntu 20.04"", ""SDK"": ""Spot SDK 4.x""}",배터리 확인|TOM ON|SPOT ON|spot_robot.py,배터리|E-Stop|TOM|Rubberneck|SOLAR 점검,Rubberneck → SPOT #2|WASD|Space 정지,robots/spot.md,spot,,incheon,
ilg1,robotower,일개미 #1,amr,🐜,AMR,1F,online,online,online,online,즉시,"{""IP"": ""192.168.1.41"", ""RN ID"": ""ilgaemi-01"", ""OS"": ""Ubuntu 20.04"", ""SDK"": ""ROS2""}",충전 분리|TOM ON|전원 ON|ilgaemi_robot.py,배터리 80%|경로 장애물|TOM|Rubberneck|SOLAR,Rubberneck 수동 전환|조이스틱|긴급 정지,robots/ilgaemi.md,,,incheon,
ilg2,robotower,일개미 #2,amr,🐜,AMR,22F,offline,offline,offline,offline,3시간 전,"{""IP"": ""192.168.1.42"", ""RN ID"": ""ilgaemi-02"", ""OS"": ""Ubuntu 20.04"", ""SDK"": ""ROS2""}",충전 확인|TOM ON|전원 ON,배터리|TOM|Rubberneck,Rubberneck|조이스틱|긴급 정지,robots/ilgaemi.md,,,incheon,
jipg1,robotower,집개미 #1,amr,🐜,AMR,1F,online,online,online,online,2분 전,"{""IP"": ""192.168.1.43"", ""RN ID"": ""jipgaemi-01"", ""OS"": ""Ubuntu 20.04"", ""SDK"": ""ROS2""}",충전 확인|TOM ON|전원 ON|jipgaemi_robot.py,배터리|TOM|Rubberneck|SOLAR,Rubberneck|키보드|긴급 정지,robots/jipgaemi.md,,,incheon,
rby1,robotower,RB-Y1,manipulator,🦾,모바일 매니퓰레이터,1F,online,online,online,online,즉시,"{""IP"": ""192.168.1.61"", ""RN ID"": ""rby1-01"", ""OS"": ""Ubuntu 22.04"", ""SDK"": ""RB SDK""}",E-Stop 해제|TOM ON|RB-Y1 전원 → 초기화 60초|rby1_robot.py,E-Stop 해제|관절 초기화|TOM|Rubberneck|작업 반경 장애물|그리퍼,Rubberneck → RB-Y1|양팔 개별 제어|속도 50% 이하|Space 긴급 정지,robots/rby1.md,rby1,,incheon,
elev_rt,robotower,엘리베이터,m2m,🛗,MtoM IoT,1F,online,online,online,online,즉시,"{""IP"": ""192.168.1.71"", ""RN ID"": ""elev-rt-01"", ""OS"": ""Raspberry Pi OS"", ""SDK"": ""ketirtc""}",TOM ON|elevator_robot.py|층 제어 확인,TOM|제어 모듈|Rubberneck,Rubberneck → 엘리베이터|층 호출|로봇 연동 ON,robots/elevator.md,,,incheon,
door_rt,robotower,자동문,m2m,🚪,MtoM IoT,1F,online,online,online,online,즉시,"{""IP"": ""192.168.1.72"", ""RN ID"": ""door-rt-01"", ""OS"": ""Raspberry Pi OS"", ""SDK"": ""ketirtc""}",TOM ON|door_robot.py|Rubberneck,TOM|센서 동작|Rubberneck,Rubberneck → 자동문|개방/폐쇄|수동 오버라이드,robots/door.md,,,incheon,
